,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
LOW0,0.0019926827,0.1480203,0.013462225,0.0037713149134175035,0.13865723264117624,0.027198831028084774,0.5153024911032028,0.109922536
RANK5,-0.0018858095,0.13920158,-0.013547326,-0.0019942260306128785,0.15609497244036086,-0.012775721547454683,0.505338078291815,0.10714404
CNTN30,0.001300636,0.1376587,0.009448265,0.0006341114005747883,0.14889600079433543,0.004258753456132972,0.49537366548042705,0.10646805
CNTD30,-0.0017892747,0.13736798,-0.013025412,-0.00032792988103800744,0.14947566563363757,-0.002193867862766904,0.498932384341637,0.10633893
KUP,-0.0021932693,0.13852467,-0.015833057,-0.0035172305551653,0.13293425486312863,-0.02645841957140772,0.4761565836298932,0.1063197
CNTP30,-0.0022221527,0.13643819,-0.01628688,-1.5902648742401657e-06,0.1487365716577996,-1.0691820778152016e-05,0.5039145907473309,0.10626491
IMAX30,-0.0037833508,0.13602419,-0.027813805,-0.005547666872998836,0.1490083028230371,-0.03723058645451056,0.505338078291815,0.10526759
IMIN60,-0.004973121,0.13239712,-0.03756215,-0.008065078679627692,0.14550141918435838,-0.05542954955726786,0.4619217081850534,0.10507211
IMAX20,-0.004405979,0.13406634,-0.032864165,-0.006100196992152746,0.15037276111308864,-0.0405671648330871,0.5153024911032028,0.10478621
CNTN20,0.0024305405,0.13310811,0.018259896,0.002148754982904946,0.14721183451104175,0.014596345763086861,0.499644128113879,0.10422498
CNTD20,-0.0028394887,0.13299297,-0.021350665,-0.0020056178871197287,0.14774718895670783,-0.013574659291560615,0.49466192170818507,0.10376728
CNTP20,-0.0032407218,0.13254349,-0.02445025,-0.0017893651489112271,0.1469134910592128,-0.012179718923109945,0.49110320284697506,0.10362581
IMIN20,0.0047097765,0.13252886,0.03553774,0.005368974787142771,0.1497926804864481,0.03584270213524544,0.5088967971530249,0.10360129
KMID2,0.00028394253,0.13409024,0.0021175477,-0.0006312530616981041,0.14770105777829226,-0.004273855776355327,0.498220640569395,0.1033372
IMXD5,-0.0038367703,0.13388084,-0.028658096,-0.004277806459299031,0.14975291060784385,-0.02856576313794421,0.5160142348754448,0.10259369
IMIN30,0.0033068429,0.13074993,0.025291353,0.0024824044752393315,0.14899223490733743,0.016661299900429118,0.498220640569395,0.10213573
KLOW,-0.0023278543,0.13638324,-0.017068475,-0.0022326026307571095,0.126347663370015,-0.017670310589881857,0.501779359430605,0.10126192
IMAX10,-0.0065872045,0.12774807,-0.051564015,-0.008763522547124866,0.14658353527579968,-0.059785172548775065,0.49466192170818507,0.09997668
IMIN10,0.0047630947,0.12537162,0.037991807,0.005365198002991261,0.14163131499593776,0.03788143620872815,0.500355871886121,0.09888716
CNTD10,-0.0016360625,0.12435825,-0.013156042,-0.0017300651354191618,0.138906500699109,-0.012454888735681553,0.498220640569395,0.09758435
CNTN10,0.0015493039,0.124664016,0.012427835,0.001996250494266496,0.13842862274159676,0.014420791816913163,0.501067615658363,0.09730066
CNTP10,-0.0017585274,0.12373051,-0.01421256,-0.0015589976591999695,0.13803807700499998,-0.011293967433375832,0.49323843416370106,0.09713453
CNTN5,0.0023892848,0.12287783,0.019444391,0.0014728611028241494,0.13646458802062156,0.010792990447248312,0.498932384341637,0.09464274
CNTD5,-0.0022878144,0.12277959,-0.018633505,-0.0013075663419032928,0.13672256267371316,-0.009563646414288772,0.5039145907473309,0.094362445
CNTP5,-0.0022307846,0.12223034,-0.018250661,-0.0010453001594115064,0.13605921373002136,-0.0076826850157962635,0.501067615658363,0.09387826
IMAX5,-0.0037614626,0.121906765,-0.030855238,-0.0048729072042316066,0.13948922499134067,-0.034933930238660434,0.501067615658363,0.09350265
IMIN5,0.0026657712,0.12107873,0.02201684,0.0034786281095128993,0.13795343604239063,0.025215956609333116,0.500355871886121,0.09286264
KSFT2,-5.0797073e-05,0.119894505,-0.00042368137,-0.00021428502359453308,0.13092934563318676,-0.0016366461330099,0.5067615658362989,0.09191405
RSQR60,0.00025283027,0.113758646,0.0022225147,0.0010564317662784997,0.12947464411565318,0.00815937121820648,0.5124555160142349,0.08436885
RSQR10,-0.0053407587,0.10631961,-0.05023305,-0.006983898486351918,0.11853141080221563,-0.05892022924457658,0.4889679715302491,0.08003556
RSQR20,-0.0041989833,0.10510778,-0.03994931,-0.005870539868152253,0.11720972690926909,-0.05008576951841963,0.48612099644128115,0.07996572
CORR60,-0.0006854656,0.1057621,-0.006481202,0.0005535124482353155,0.11448715212804883,0.004834711927056383,0.49608540925266903,0.07957683
RSQR30,-0.0024456256,0.10443678,-0.023417281,-0.0031896751620159648,0.11505895933041649,-0.027722090512180143,0.4832740213523132,0.07902928
VSUMN60,0.0019283706,0.10714869,0.017997144,0.0006898849941190099,0.08155785445349906,0.008458840833336851,0.5266903914590747,0.07866509
RSQR5,-0.0034598897,0.103839286,-0.033319656,-0.003311397702157562,0.11579561681392929,-0.028596915041347894,0.496797153024911,0.07838078
KUP2,-5.6963545e-05,0.09957556,-0.0005720635,-0.0004315771945149592,0.11042949881629513,-0.003908169103902372,0.498932384341637,0.07717641
VSUMP60,0.0020656888,0.10324944,0.02000678,-5.843618324892306e-05,0.08148019839394242,-0.0007171825453169491,0.5138790035587188,0.07712668
KLOW2,-0.0013185182,0.09745195,-0.01352993,0.0004594216722449697,0.1078891223923726,0.004258275713759,0.500355871886121,0.07549915
CORR30,6.294216e-05,0.0973911,0.00064628245,-0.0005482430864586106,0.10577396847709926,-0.005183156522540265,0.5081850533807829,0.07451144
CORD10,-0.0036380794,0.094083525,-0.03866861,-0.006736643796908418,0.10305515445842403,-0.06536929839771602,0.49110320284697506,0.073580705
CORR20,-0.0015552909,0.09374199,-0.016591186,-0.0018282833257436527,0.10130300649651985,-0.018047669151159594,0.501779359430605,0.0726823
